Timesteps,Average Return,Standard Error
554000,-830.0742242055612,6.156103032038015
556000,-830.0871825480368,6.1869760580378745
558000,-830.6195973441062,6.196140397977855
560000,-829.8149762362294,6.1719725892729045
562000,-829.500608405195,6.1817668707260065
564000,-830.9448520536477,6.194561481714225
566000,-830.2987406568151,6.14590861624758
568000,-829.6394042373446,6.142424029686312
570000,-825.5156095942721,6.018356616576517
572000,-826.3378746936888,6.038777007982622
574000,-827.3012217090098,6.096386738814296
576000,-828.008196180378,6.177582978094316
578000,-827.1706201422539,6.206448577058181
580000,-826.051764322371,6.121231774353846
582000,-825.7067673305796,6.140901405887069
584000,-825.4865848449878,6.136379557663492
586000,-826.0372476210988,6.149397204914335
588000,-825.6731716783112,6.178161546714097
590000,-826.2056786295275,6.215634122217594
592000,-823.8970970465667,6.425053007148686
594000,-824.4728355311262,6.433430452212865
596000,-824.9374339057399,6.418264797796512
598000,-825.1349528165504,6.617930138048368
600000,-826.5695959831838,6.658421443236951
602000,-827.4947892080536,6.443493425205537
604000,-828.8202597274596,6.328080102215468
606000,-827.998891153192,6.24125653806852
608000,-826.8288189698932,6.214122970843131
610000,-826.1764258871523,6.199036299909372
612000,-823.2963790847841,6.309925297358058
614000,-822.5343193307385,6.325475475686348
616000,-822.9266133668623,6.470285378384808
618000,-821.0249810480558,6.00333595019624
620000,-820.8902433343117,5.968669824974941
622000,-820.5591473446934,5.956504077170298
624000,-819.838535035462,6.030490831398832
626000,-820.7463402502639,5.933703874028542
628000,-820.5107633283525,5.913222256850073
630000,-819.1959737380515,5.7718058500646
632000,-818.8937358655867,5.748625067257808
634000,-817.5961293117148,5.802412412690911
636000,-817.0166550634855,5.868329713352731
638000,-816.2837688548711,5.783772348507518
640000,-814.8449345752222,5.935208813600849
642000,-813.5220785691528,5.994312188110397
644000,-814.0918927995023,6.011012221316074
646000,-814.5805154747964,5.970472956513898
648000,-812.3910784846438,6.107969252932311
650000,-813.4905606179408,6.087218821347181
652000,-813.4356071974402,6.092616120142523
654000,-813.8952276123241,6.042556864925443
656000,-816.3886339326372,6.126742419682312
658000,-816.2271057674053,6.107018387671593
660000,-814.801248798521,6.205247956856821
662000,-815.9417837767551,6.26753734319998
664000,-814.2534819205516,6.264012699207597
666000,-814.0727596399797,6.281846534578809
668000,-812.7135841040798,6.322723446162042
670000,-814.1191561488513,6.089635476226901
672000,-812.4473210818405,6.18328130721181
674000,-810.5106405056374,6.140346640311424
676000,-812.0003865518943,6.148631336334947
678000,-814.6450310494827,6.32016368559839
680000,-813.6287837577283,6.3251796151472135
682000,-814.3651323773556,6.31965353606093
684000,-815.5044848847175,6.441000236111414
686000,-814.9584841089849,6.391079047413607
688000,-814.9710278237966,6.359153771835484
690000,-814.4435470380022,6.318523044885167
692000,-816.1653563447311,6.163608559250215
694000,-816.0272717939931,6.167775357688616
696000,-815.9076112958463,6.2584663011271005
698000,-815.0218192083692,6.045905344639278
700000,-815.3858362689024,6.102769552279341
702000,-815.8416742218601,6.205540848825541
704000,-816.8791581960306,6.3079329581247086
706000,-816.1744956727932,6.386457671553478
708000,-816.3103284472203,6.402792601525117
710000,-816.569704388626,6.399074873793424
712000,-818.3396742841157,6.2210276997070535
714000,-816.06068921742,6.532233320268053
716000,-816.7659427806117,6.405679695887018
718000,-816.779965549027,6.387125753902894
720000,-816.7405534997656,6.384038234582821
722000,-817.9012608036179,6.5834845904830575
724000,-818.4558692464188,6.526290911488546
726000,-818.8688688210765,6.531811694126087
728000,-821.3186227972469,6.731952174957695
730000,-821.6871834437667,6.734494706866481
732000,-821.9895723038619,6.728793912829367
734000,-822.8133225744853,6.6136034463664375
736000,-823.5694724514582,6.601038064421351
738000,-823.6428861668396,6.619504782083679
740000,-823.9614608292966,6.528505666903523
