Steps,Average Return,Standard Error
694000,258.99,34.64
695000,251.72,34.47
696000,216.78,32.67
697000,235.75,34.03
698000,258.14,35.51
699000,239.18,31.55
700000,232.55,31.13
701000,213.88,29.9
702000,216.07,29.91
703000,224.52,30.3
704000,239.22,31.22
705000,252.77,31.0
706000,264.98,33.17
707000,251.87,31.61
708000,262.99,32.6
709000,271.15,35.06
710000,275.56,35.24
711000,281.76,36.08
712000,290.62,36.62
713000,324.56,39.89
714000,336.36,40.69
715000,362.91,45.03
716000,372.58,44.88
717000,373.13,44.94
718000,388.47,47.13
719000,391.74,47.35
720000,388.54,48.16
721000,382.46,48.37
722000,394.41,49.13
723000,415.73,49.73
724000,385.84,49.18
725000,374.61,49.07
726000,375.29,49.05
727000,348.83,47.82
728000,350.22,47.78
729000,347.08,47.42
730000,338.02,45.55
731000,342.85,45.9
732000,355.5,48.47
733000,373.23,49.87
734000,363.98,47.94
735000,342.38,43.16
736000,314.72,40.07
737000,311.52,39.8
738000,306.69,37.55
739000,300.06,36.9
740000,304.4,36.86
741000,319.51,38.33
742000,328.63,38.27
743000,346.33,38.12
744000,336.94,36.91
745000,351.13,37.53
746000,359.23,37.3
747000,365.16,37.7
748000,386.17,38.89
749000,393.59,39.55
750000,410.92,40.39
751000,434.54,41.4
752000,448.74,41.5
753000,448.46,41.32
754000,396.13,36.8
755000,370.78,37.03
756000,353.67,36.82
757000,362.73,36.89
758000,352.67,36.63
759000,359.66,38.95
760000,357.33,39.51
761000,373.98,42.1
762000,365.53,41.48
763000,362.28,40.73
764000,348.23,38.95
765000,366.03,40.11
766000,360.35,39.53
767000,369.82,39.12
768000,367.19,38.16
769000,383.84,38.73
770000,354.83,37.8
771000,337.15,37.15
772000,339.53,36.91
773000,343.1,36.77
774000,353.44,36.67
775000,353.84,36.63
776000,359.81,36.55
777000,344.12,35.67
778000,318.44,32.16
779000,292.77,27.21
780000,286.16,27.62
781000,296.3,28.46
782000,285.55,27.39
783000,300.73,31.55
784000,305.99,39.99
785000,291.65,40.31
786000,275.39,38.89
787000,285.11,38.86
788000,284.33,39.14
789000,283.45,38.89
790000,287.88,38.81
791000,275.47,38.82
792000,273.17,38.7
793000,282.82,39.42
794000,266.44,40.11
795000,231.3,40.28
796000,209.66,38.62
797000,193.94,34.83
798000,172.55,22.91
799000,175.33,23.4
800000,182.27,24.09
801000,191.4,25.3
802000,194.44,26.05
803000,193.89,25.93
804000,211.01,27.57
805000,210.25,27.22
806000,223.8,28.21
807000,236.97,30.64
808000,250.96,30.98
809000,263.88,32.11
810000,283.71,35.52
811000,287.41,35.86
812000,288.92,35.98
813000,322.76,39.23
814000,347.12,41.3
815000,348.81,41.32
816000,357.06,41.72
817000,375.68,42.48
818000,385.69,44.08
819000,402.25,44.04
820000,423.3,45.08
821000,454.55,48.49
822000,470.46,47.56
823000,465.15,48.03
824000,364.19,48.8
825000,341.56,47.88
826000,344.31,48.11
827000,344.08,47.95
828000,325.47,45.13
829000,349.05,46.78
830000,317.43,45.3
831000,306.35,44.02
832000,280.16,42.39
833000,278.64,41.83
834000,273.36,40.61
835000,253.17,34.83
836000,267.24,36.77
837000,276.18,36.92
838000,293.23,37.04
839000,301.62,36.87
840000,320.42,37.65
841000,331.17,37.37
842000,350.64,36.85
843000,369.3,36.74
844000,389.56,36.93
845000,405.98,36.42
846000,392.29,36.02
847000,368.32,36.43
848000,327.88,33.14
849000,328.88,32.79
850000,331.79,32.67
851000,338.33,32.82
852000,314.29,30.05
853000,295.61,28.67
854000,270.13,26.23
855000,275.2,25.8
856000,271.85,25.22
857000,277.46,25.5
858000,278.3,25.65
859000,293.79,29.45
860000,300.23,29.52
861000,288.01,28.74
862000,297.59,31.6
863000,311.45,34.0
864000,318.67,34.69
865000,351.88,39.52
866000,369.92,39.73
867000,381.9,41.33
868000,403.45,42.83
869000,420.98,43.51
870000,445.36,44.85
871000,452.3,45.27
872000,449.9,47.81
873000,456.9,49.25
874000,480.43,52.17
875000,501.29,54.1
876000,515.87,54.98
877000,526.31,54.51
878000,543.19,56.12
879000,558.99,55.85
880000,571.48,56.31
881000,538.13,57.7
882000,522.24,58.09
883000,502.03,56.67
884000,480.57,55.5
885000,399.62,50.49
886000,386.4,49.17
887000,358.52,46.55
888000,360.42,45.41
889000,354.34,42.64
890000,343.27,38.33
891000,323.03,32.8
892000,330.16,33.54
893000,291.27,26.41
894000,302.13,26.64
895000,290.0,26.07
896000,293.56,26.07
897000,289.62,25.92
898000,284.61,25.55
899000,288.65,25.48
